company_name,board_token
Albedo,albedo
Authenticx,authenticx
Artefact,artefact
Blackthorn,blackthorn
CharterUP,charterup
Domino Data Lab,dominodatalab
Dropbox,dropbox
GHX,globalhealthcareexchangeinc
GitLab,gitlab
Gusto,gusto
Guild,guild
Highwire,highwire
Karbon,karbon
Loft Federal,loftfederal
Manychat,manychat
Midi Health,midihealth
Nametag,nametag
Okta,okta
Power to Decide,powertodecide
RADAR,radar
Skedda,skedda
Skylight,skylighthq
Soros Prism (Family Office),familyoffice
Toast,toast
Tomorrow,tomorrow
Walker-Miller Energy,walkermillerenergy
Webflow,webflow
Whisper Aero,whisperaero
WPP Media,wppmedia
